Algorithm,Dimension,Active,DirectionMean,DirectionStd,RewardMean,RewardStd
SimpleLinBandit,0,1,98.77771850496556,0.0,0.2684827635868514,0.0
SimpleLinBandit,1,1,63.98675878336593,0.0,0.19046380712768868,0.0
SimpleLinBandit,2,1,92.02225225512004,0.0,0.22966282108799974,0.0
SimpleLinBandit,3,1,81.72363619947897,0.0,0.1693951239271671,0.0
SimpleLinBandit,4,1,128.30807806314994,0.0,0.38614959119311926,0.0
SimpleLinBandit,5,0,16.594923788792357,0.0,0.06676666731427414,0.0
SimpleLinBandit,6,0,17.778901427202186,0.0,0.03509693504628748,0.0
SimpleLinBandit,7,0,16.422370748911476,0.0,0.031062361019958677,0.0
SimpleLinBandit,8,0,19.39810659991602,0.0,0.026344838565392707,0.0
SimpleLinBandit,9,0,25.633381040897383,0.0,0.08018037589805015,0.0
SimpleLinBandit,10,0,15.453555144849648,0.0,0.011559415317457163,0.0
SimpleLinBandit,11,0,20.401555437307007,0.0,0.09676404418672248,0.0
SimpleLinBandit,12,0,19.949616917587964,0.0,0.06567361700525887,0.0
SimpleLinBandit,13,0,20.000458649393128,0.0,0.04868236339656446,0.0
SimpleLinBandit,14,0,20.798662851917147,0.0,0.0690753480695386,0.0
SimpleLinBandit,15,0,15.798011570093072,0.0,0.014836559061655428,0.0
SimpleLinBandit,16,0,15.325289548076764,0.0,0.00720317186978741,0.0
SimpleLinBandit,17,0,19.110070346791893,0.0,0.06437093529420437,0.0
SimpleLinBandit,18,0,24.6516181932516,0.0,0.08036795995747761,0.0
SimpleLinBandit,19,0,15.134071630775924,0.0,0.01780980600016424,0.0
TuRBO-1,0,1,177.2052035468404,0.0,0.7654432076920623,0.0
TuRBO-1,1,1,128.59271102639576,0.0,0.24208296136201182,0.0
TuRBO-1,2,1,142.23476244085427,0.0,0.3045102595500515,0.0
TuRBO-1,3,1,117.25297048635977,0.0,0.15735067089187318,0.0
TuRBO-1,4,1,153.1199372366052,0.0,0.5272287637019366,0.0
TuRBO-1,5,0,41.95195540969412,0.0,0.06506375891323009,0.0
TuRBO-1,6,0,43.94514645528049,0.0,0.11434106123715465,0.0
TuRBO-1,7,0,42.653990823074665,0.0,0.12839672098813518,0.0
TuRBO-1,8,0,39.284615255705816,0.0,0.14314447945768138,0.0
TuRBO-1,9,0,38.2797301522665,0.0,0.1134947878920999,0.0
TuRBO-1,10,0,39.36907904802453,0.0,0.15675829112024622,0.0
TuRBO-1,11,0,39.51313313817468,0.0,0.07653952961231973,0.0
TuRBO-1,12,0,51.38658310312194,0.0,0.16625992649845434,0.0
TuRBO-1,13,0,39.14155229686513,0.0,0.09735801561624159,0.0
TuRBO-1,14,0,39.72601664995045,0.0,0.11742287251422183,0.0
TuRBO-1,15,0,50.7058799887666,0.0,0.1750008677242791,0.0
TuRBO-1,16,0,50.59768474965784,0.0,0.08407052486234037,0.0
TuRBO-1,17,0,53.68425164613924,0.0,0.17942748248196377,0.0
TuRBO-1,18,0,43.02206498935008,0.0,0.13510740864429108,0.0
TuRBO-1,19,0,46.127341355662196,0.0,0.12708158211866902,0.0
REMBO,0,1,51.46880838780007,0.0,0.0,0.0
REMBO,1,1,116.72498355953502,0.0,0.0,0.0
REMBO,2,1,88.90308722757638,0.0,0.0,0.0
REMBO,3,1,133.9708659583015,0.0,0.0,0.0
REMBO,4,1,11.103020063276045,0.0,0.0,0.0
REMBO,5,0,28.621461615394246,0.0,0.0,0.0
REMBO,6,0,1.4730078375915894,0.0,0.0,0.0
REMBO,7,0,12.044855289044959,0.0,0.0,0.0
REMBO,8,0,2.0664087903756396,0.0,0.0,0.0
REMBO,9,0,1.7784671531189922,0.0,0.0,0.0
REMBO,10,0,16.216925737799013,0.0,0.0,0.0
REMBO,11,0,19.558464943713886,0.0,0.0,0.0
REMBO,12,0,20.364708963689896,0.0,0.0,0.0
REMBO,13,0,22.71671956006729,0.0,0.0,0.0
REMBO,14,0,6.25483378992797,0.0,0.0,0.0
REMBO,15,0,19.495977081185753,0.0,0.0,0.0
REMBO,16,0,8.115893090091703,0.0,0.0,0.0
REMBO,17,0,10.787943595783835,0.0,0.0,0.0
REMBO,18,0,25.676482932474403,0.0,0.0,0.0
REMBO,19,0,18.750691035267636,0.0,0.0,0.0
